                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
63,1.4026,1.1005,1.1486,1.6223,1.3182,0.49159,0.56534,0.46205,0.49159,0.29711,1.4218,1.0877,1.2354,1.5478,1.2851,1.2062,0.007987,0.007987,0.007987
64,1.3923,1.0774,1.1369,1.6223,1.286,0.48802,0.63702,0.44963,0.48802,0.29734,1.4109,1.0771,1.2249,1.5354,1.2156,1.1984,0.007954,0.007954,0.007954
65,1.3838,1.0799,1.1398,1.6004,1.2758,0.489,0.63818,0.45788,0.489,0.30022,1.4074,1.0755,1.2187,1.5272,1.2385,1.1899,0.007921,0.007921,0.007921
66,1.388,1.0782,1.1427,1.6019,1.2759,0.48537,0.58466,0.46015,0.48537,0.29971,1.4152,1.0961,1.2229,1.5439,1.2876,1.2,0.007888,0.007888,0.007888
67,1.3893,1.0679,1.1321,1.6052,1.2656,0.49345,0.67404,0.45464,0.49345,0.30718,1.4003,1.074,1.2198,1.5276,1.2617,1.1934,0.007855,0.007855,0.007855
68,1.3785,1.0553,1.1347,1.6015,1.2525,0.50011,0.63837,0.47213,0.50011,0.30435,1.398,1.0754,1.2178,1.5177,1.2712,1.1903,0.007822,0.007822,0.007822
69,1.3726,1.0583,1.1257,1.5999,1.2612,0.50268,0.65855,0.45784,0.50268,0.30451,1.4009,1.0551,1.2182,1.5301,1.2423,1.1939,0.007789,0.007789,0.007789
70,1.3753,1.0533,1.1245,1.6093,1.2648,0.4975,0.73669,0.46854,0.4975,0.30751,1.3949,1.055,1.2182,1.5214,1.228,1.1934,0.007756,0.007756,0.007756
71,1.3533,1.0476,1.1249,1.5911,1.2571,0.50317,0.64199,0.4664,0.50317,0.31059,1.3957,1.0465,1.219,1.5171,1.2319,1.1905,0.007723,0.007723,0.007723
72,1.3473,1.0264,1.1172,1.571,1.23,0.49317,0.65599,0.45655,0.49317,0.30591,1.3972,1.047,1.2198,1.5213,1.209,1.1899,0.00769,0.00769,0.00769
73,1.355,1.0417,1.126,1.5776,1.2457,0.50353,0.67507,0.47305,0.50353,0.30987,1.3965,1.0282,1.2173,1.5247,1.1848,1.1899,0.007657,0.007657,0.007657
74,1.3676,1.04,1.1212,1.5979,1.2362,0.50082,0.69455,0.46135,0.50082,0.30683,1.4043,1.0543,1.2174,1.5272,1.2375,1.1882,0.007624,0.007624,0.007624
75,1.3587,1.0343,1.1217,1.5775,1.2214,0.50568,0.5646,0.47697,0.50568,0.3135,1.3914,1.0453,1.2127,1.5157,1.1972,1.186,0.007591,0.007591,0.007591
76,1.3438,1.0274,1.1144,1.5784,1.2303,0.51442,0.65456,0.47909,0.51442,0.31793,1.3819,1.0322,1.2091,1.5153,1.2074,1.1848,0.007558,0.007558,0.007558
77,1.3507,1.0189,1.1185,1.5958,1.2133,0.51515,0.67798,0.46309,0.51515,0.31911,1.3789,1.0343,1.2042,1.5111,1.2006,1.1804,0.007525,0.007525,0.007525
78,1.3616,1.0342,1.1263,1.5826,1.2345,0.51077,0.65073,0.47757,0.51077,0.31564,1.3839,1.0389,1.2109,1.5196,1.1984,1.1866,0.007492,0.007492,0.007492
79,1.3294,1.0121,1.1062,1.5651,1.2019,0.51605,0.66327,0.47855,0.51605,0.32345,1.3737,1.0258,1.2013,1.5046,1.1999,1.1804,0.007459,0.007459,0.007459
80,1.3473,1.0055,1.1105,1.5727,1.1929,0.51875,0.58967,0.49381,0.51875,0.32523,1.3725,1.0295,1.2008,1.5027,1.2026,1.1805,0.007426,0.007426,0.007426
81,1.3561,1.0233,1.1208,1.5795,1.2073,0.52476,0.69006,0.48126,0.52476,0.32851,1.3669,1.0064,1.2001,1.5004,1.1622,1.1792,0.007393,0.007393,0.007393
82,1.3269,0.98803,1.1049,1.5448,1.1785,0.52386,0.68003,0.48623,0.52386,0.32555,1.3721,1.013,1.2017,1.4985,1.1619,1.1755,0.00736,0.00736,0.00736
83,1.3136,0.99672,1.1075,1.5493,1.1964,0.53818,0.66786,0.51517,0.53818,0.33724,1.3694,1.0098,1.1986,1.4968,1.1596,1.1723,0.007327,0.007327,0.007327
84,1.3322,1.0114,1.1084,1.5494,1.1948,0.51876,0.6517,0.49145,0.51876,0.32598,1.3717,1.0326,1.2008,1.4995,1.2262,1.174,0.007294,0.007294,0.007294
85,1.3296,0.99689,1.0996,1.5576,1.1733,0.52417,0.65603,0.49967,0.52417,0.3282,1.3729,1.0141,1.2056,1.5038,1.1642,1.1835,0.007261,0.007261,0.007261
86,1.3104,0.97581,1.0913,1.5411,1.1556,0.53113,0.64707,0.50449,0.53113,0.33157,1.3629,1.0036,1.1962,1.4991,1.1519,1.1767,0.007228,0.007228,0.007228
87,1.2925,0.94944,1.0902,1.516,1.1248,0.53633,0.69196,0.499,0.53633,0.3362,1.3603,1.0034,1.1964,1.4975,1.1608,1.1785,0.007195,0.007195,0.007195
88,1.3091,0.97624,1.0981,1.5381,1.1689,0.54069,0.61307,0.50037,0.54069,0.33661,1.3584,1.0008,1.1936,1.493,1.1601,1.175,0.007162,0.007162,0.007162
89,1.3069,0.96551,1.0959,1.5269,1.147,0.53323,0.59019,0.50428,0.53323,0.33121,1.3576,0.98931,1.1907,1.492,1.1308,1.1702,0.007129,0.007129,0.007129
90,1.3042,0.96868,1.0914,1.5399,1.1465,0.53602,0.59338,0.50334,0.53602,0.33706,1.3546,0.98848,1.1944,1.4896,1.1407,1.1742,0.007096,0.007096,0.007096
91,1.2931,0.96278,1.0971,1.5176,1.1349,0.53392,0.67546,0.4941,0.53392,0.33477,1.3596,0.98739,1.1947,1.4929,1.1347,1.1733,0.007063,0.007063,0.007063
92,1.3038,0.9675,1.092,1.5387,1.1486,0.53542,0.66884,0.49886,0.53542,0.33737,1.3542,0.98786,1.1903,1.4886,1.1472,1.1708,0.00703,0.00703,0.00703
93,1.3005,0.96969,1.0916,1.5337,1.1459,0.53757,0.68334,0.49933,0.53757,0.33726,1.3586,0.98561,1.196,1.4898,1.1475,1.1737,0.006997,0.006997,0.006997
94,1.3012,0.9631,1.0989,1.538,1.1631,0.53358,0.69606,0.47928,0.53358,0.33449,1.3563,0.99571,1.194,1.4873,1.1734,1.171,0.006964,0.006964,0.006964
95,1.2905,0.95726,1.0889,1.5196,1.1255,0.53494,0.65431,0.50873,0.53494,0.33262,1.3546,0.98417,1.1945,1.49,1.1423,1.1736,0.006931,0.006931,0.006931
96,1.2981,0.95276,1.0927,1.5267,1.1233,0.53979,0.66078,0.50902,0.53979,0.33969,1.3481,0.97974,1.1876,1.4835,1.1441,1.1693,0.006898,0.006898,0.006898
97,1.2777,0.94421,1.0879,1.5163,1.1266,0.53916,0.67638,0.49901,0.53916,0.33703,1.3527,0.98224,1.1911,1.4874,1.1421,1.1703,0.006865,0.006865,0.006865
98,1.2873,0.94001,1.0812,1.5157,1.1073,0.53909,0.6078,0.49813,0.53909,0.33965,1.3545,0.98959,1.1938,1.4866,1.1588,1.1722,0.006832,0.006832,0.006832
99,1.2752,0.94494,1.0815,1.5085,1.1066,0.54221,0.67363,0.50693,0.54221,0.34113,1.3523,0.9803,1.1921,1.4853,1.1414,1.1695,0.006799,0.006799,0.006799
100,1.292,0.94952,1.091,1.526,1.1337,0.54278,0.66033,0.51845,0.54278,0.34087,1.3544,0.98205,1.1947,1.4853,1.1448,1.1686,0.006766,0.006766,0.006766
101,1.2748,0.93355,1.0758,1.5202,1.1017,0.55034,0.66012,0.51795,0.55034,0.34554,1.3498,0.97413,1.1891,1.4844,1.1218,1.167,0.006733,0.006733,0.006733
102,1.2954,0.95275,1.089,1.5344,1.1296,0.55675,0.70485,0.49825,0.55675,0.34829,1.3492,0.96371,1.1895,1.4851,1.1115,1.1693,0.0067,0.0067,0.0067
103,1.2737,0.93162,1.0749,1.5041,1.0992,0.55152,0.70031,0.50138,0.55152,0.34834,1.3444,0.96828,1.1872,1.478,1.1229,1.1649,0.006667,0.006667,0.006667
104,1.2676,0.94046,1.0756,1.5059,1.0878,0.54777,0.67869,0.52167,0.54777,0.3476,1.3379,0.96199,1.1833,1.4775,1.1079,1.1634,0.006634,0.006634,0.006634
105,1.2629,0.9224,1.0798,1.5004,1.097,0.54901,0.67765,0.51858,0.54901,0.34784,1.3396,0.96321,1.1844,1.4765,1.1155,1.1625,0.006601,0.006601,0.006601
106,1.2661,0.91348,1.0751,1.5051,1.0831,0.54695,0.69463,0.49891,0.54695,0.34483,1.3454,0.96969,1.1855,1.4809,1.1241,1.1622,0.006568,0.006568,0.006568
107,1.2756,0.90729,1.072,1.5268,1.0706,0.54837,0.61028,0.51897,0.54837,0.34681,1.3407,0.96268,1.1859,1.4791,1.1205,1.1667,0.006535,0.006535,0.006535
108,1.2628,0.93159,1.0843,1.5086,1.1104,0.54778,0.61602,0.51751,0.54778,0.34555,1.3401,0.96794,1.1833,1.4786,1.1158,1.1631,0.006502,0.006502,0.006502
