                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  1.316,                0.99942,                 1.1102,                 1.5534,                 1.2061,                 1.0762,                0.65257,                0.49702,                0.51688,                0.31935,                  1.374,                 1.0536,                 1.2087,                  1.491,                 1.2349,                 1.1791,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3058,                0.97471,                  1.101,                 1.5163,                 1.1547,                  1.068,                0.62984,                0.50299,                0.52435,                0.32486,                 1.3719,                 1.0347,                 1.2047,                 1.4932,                  1.216,                 1.1786,               0.006238,               0.006238,               0.006238
                     79,                 1.3075,                0.96351,                 1.0935,                 1.5324,                 1.1466,                 1.0613,                0.66627,                0.49938,                0.52959,                0.32981,                 1.3684,                 1.0408,                 1.2001,                 1.4892,                  1.224,                 1.1743,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3097,                0.95425,                 1.0899,                 1.5416,                 1.1319,                 1.0559,                0.64813,                0.49832,                0.51962,                0.32195,                 1.3698,                 1.0263,                 1.2002,                 1.4899,                 1.1972,                 1.1735,               0.006139,               0.006139,               0.006139
                     81,                 1.2835,                0.94066,                 1.0923,                 1.5075,                 1.1233,                 1.0647,                0.66273,                0.49109,                0.52606,                0.32469,                 1.3635,                 1.0249,                 1.1976,                 1.4901,                 1.1914,                 1.1726,              0.0060895,              0.0060895,              0.0060895
                     82,                   1.31,                0.97601,                 1.1008,                 1.5257,                 1.1642,                 1.0685,                0.63935,                0.50231,                0.53053,                0.33009,                 1.3637,                 1.0356,                 1.1974,                 1.4842,                 1.2305,                 1.1708,                0.00604,                0.00604,                0.00604
                     83,                 1.2834,                0.93254,                 1.0819,                 1.5156,                  1.113,                 1.0489,                0.69344,                0.47753,                0.53238,                0.33066,                 1.3623,                 1.0265,                 1.1978,                 1.4845,                 1.1957,                 1.1709,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2939,                0.95655,                 1.0978,                 1.5158,                 1.1404,                 1.0647,                0.66798,                0.49814,                0.53129,                0.32872,                 1.3634,                 1.0257,                 1.1992,                 1.4817,                 1.2135,                  1.168,               0.005941,               0.005941,               0.005941
                     85,                    1.3,                0.96111,                 1.0953,                  1.523,                 1.1541,                  1.063,                0.64714,                 0.4972,                   0.53,                0.32847,                 1.3556,                 1.0324,                 1.1933,                 1.4755,                 1.2151,                 1.1667,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2976,                0.96015,                 1.0894,                 1.5188,                 1.1444,                 1.0579,                 0.6497,                0.49049,                0.53302,                0.32996,                 1.3606,                   1.04,                 1.1975,                 1.4822,                 1.2162,                 1.1681,               0.005842,               0.005842,               0.005842
